"SYMBOL","COMPANY NAME","INDUSTRY","SERIES","ISINCODE","BSE CODE","Action"
"3MINDIA","3M INDIA LTD.","Diversified","EQ","INE470A01017","523395",""
"AARTIIND","AARTI INDUSTRIES LTD.","Specialty Chemicals","EQ","INE769A01020","524208",""
"AAVAS","AAVAS Financiers Ltd","Housing Finance","EQ","INE216P01012","541988",""
"ABB","ABB India Limited","Heavy Electrical Equipment","EQ","INE117A01022","500002",""
"ABBOTINDIA","ABBOTT INDIA LTD.","Pharmaceuticals","EQ","INE358A01014","500488",""
"ABCAPITAL","Aditya Birla Capital Ltd","Holding Companies","EQ","INE674K01013","500488",""
"ABFRL","Aditya Birla Fashion and Retail Ltd","Department Stores","EQ","INE647O01011","500488",""
"ACC","ACC LTD.","Cement & Cement Products","EQ","INE012A01025","500410",""
"ADANIENT","ADANI ENTERPRISES LTD.","Comm.Trading  & Distribution","EQ","INE423A01024","512599",""
"ADANIGAS","Adani Gas Ltd","Integrated Oil & Gas","EQ","INE399L01023","542066",""
"ADANIGREEN","Adani Green Energy Ltd","Heavy Electrical Equipment","EQ","INE364U01010","541450",""
"ADANIPORTS","ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.","Marine Port & Services","EQ","INE742F01042","532921",""
"ADANIPOWER","ADANI POWER LTD.","Electric Utilities","EQ","INE814H01011","533096",""
"ADANITRANS","Adani Transmission Ltd","Electric Utilities","EQ","INE931S01010","539254",""
"ADVENZYMES","Advanced Enzyme Technologies Ltd","Other Agricultural Products","EQ","INE837H01020","523269",""
"AEGISCHEM","Aegis Logistics Ltd.","OIL & GAS","EQ","INE208C01025","",""
"AFFLE","Affle (India) Ltd","Advertising & Media","EQ","INE00WC01019","542752",""
"AIAENG","AIA ENGINEERING LTD.","Other Industrial Goods","EQ","INE212H01026","537292",""
"AJANTPHARM","AJANTA PHARMA LTD.","Pharmaceuticals","EQ","INE031B01049","532331",""
"AKZOINDIA","Akzo Nobel India Limited","Furniture-Furnishing-Paints","EQ","INE133A01011","500710",""
"ALBK","ALLAHABAD BANK","Banks","","INE428A01015","",""
"ALKEM","Alkem Laboratories Ltd","Pharmaceuticals","EQ","INE540L01014","539523",""
"ALLCARGO","ALLCARGO LOGISTICS LTD.","Transportation - Logistics","EQ","INE418H01029","532749",""
"AMARAJABAT","AMARA RAJA BATTERIES LTD.","Auto Parts & Equipment","EQ","INE885A01032","500008",""
